Event Desc|En No|Site Name|Licensee Name|Region No|City Name|State Cd|County Name|License No|Agreement State Ind|Docket No|Unit Ind1|Unit Ind2|Unit Ind3|Reactor Type|Nrc Notified By|Ops Officer|Notification Dt|Notification Time|Event Dt|Event Time|Time Zone|Last Updated Dt|Emergency Class|Cfr Cd1|Cfr Descr1|Cfr Cd2|Cfr Descr2|Cfr Cd3|Cfr Descr3|Cfr Cd4|Cfr Descr4|Staff Name1|Org Abbrev1|Staff Name2|Org Abbrev2|Staff Name3|Org Abbrev3|Staff Name4|Org Abbrev4|Staff Name5|Org Abbrev5|Staff Name6|Org Abbrev6|Staff Name7|Org Abbrev7|Staff Name8|Org Abbrev8|Staff Name9|Org Abbrev9|Staff Name10|Org Abbrev10|Scram Code 1|RX CRIT 1|Initial PWR 1|Initial RX Mode1|Current PWR 1|Current RX Mode 1|Scram Code 2|RX CRIT 2|Initial PWR 2|Initial RX Mode 2|Current PWR 2|Current RX Mode 2|Scram Code 3|RX CRIT 3|Initial PWR 3|Initial RX Mode 3|Current PWR 3|Current RX Mode 3|Event Text|
Fuel Cycle Facility|46650|GLOBAL NUCLEAR FUEL - AMERICAS|GLOBAL NUCLEAR FUEL - AMERICAS|2|WILMINGTON|NC|NEW HANOVER|SNM-1097|Y|07001113||||URANIUM FUEL FABRICATION|PHILLIP OLLIS|JOHN SHOEMAKER|3/2/2011 00:00:00|11:10|3/1/2011 00:00:00|15:00|EST|3/2/2011 00:00:00|NON EMERGENCY||OTHER UNSPEC REQMNT|||||||MALCOLM WIDMANN|R2DO|THOMAS HILTZ|NMSS|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||FAILURE TO MAINTAIN MASS CONTROL OF UO2 POWDER  "At approximately 3:00 pm [EST] on Tuesday, March 1st, it was reported that 15.3kg of UO2 powder was removed from the UO2 Sinter Test Grinding Station [High Efficiency Particulate Air] HEPA filter housing transition. This clean-out was performed as a response to routine radiological surveys that indicated the presence of uranium.  It was determined that this material was present during prior filter replacement in early February in which 30.9 kg of UO2 powder was removed.  The total amount of UO2 powder present in the housing was therefore approximately 46 kg, which is greater than a safe mass.  "The Sinter Test Grinding Station and associated equipment was already shut down because of the HEPA filter housing clean-out and remained down pending investigation and implementation of corrective actions.    "Failure to maintain mass control resulted in a loss of double contingency for the filter housing.  The double contingency controls required include (1) mass control and (2) moderation control.  Moderation control, the 2nd leg of double contingency remained in place, was effective, and was not challenged.  As a result, no unsafe condition existed.    "The UO2 in the HEPA housing was transferred into [a] favorable geometry [of] 3-gallon cans per procedure.  An investigation is ongoing.  "At no time did an unsafe condition exist as the moderation control was in place, was effective, and was not challenged.  Immediate corrective actions [are] complete [transfer of material into 3-gallons cans].  Investigation of [the] event and implementation of long term corrective actions [are] pending.  The licensee will be notifying the NRC Region II, State, and Local Authorities.|
Non-Agreement State|46651|DEFENSE LOGISTICS AGENCY|DEFENSE LOGISTICS AGENCY|4|RED RIVER|TX|RED RIVER|37-30062-01|Y||||||DAVID COLLINS|JOE O'HARA|3/2/2011 00:00:00|15:20|3/1/2011 00:00:00||CST|3/7/2011 00:00:00|NON EMERGENCY|20.2201(a)(1)(ii)|LOST/STOLEN LNM>10X|||||||ANTHONY DIMITRIADIS|R1DO|BOB HAGAR|R4DO|ROBERT LEWIS|FSME|ILTAB EMAIL||MEXICO||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||LOST CHEMICAL DETECTION EQUIPMENT CONTAINING NI-63 SOURCES  "As part of a mass turn in of Chemical Detection Equipment (CDE) containing radioactive sources, an Air Force (AF) unit located in Fort Leonard Wood, MO. reported that it had shipped 52 CDE systems, each containing Ni-63 with 20 milli Curie sources, to the Defense Logistics Agency (DLA) Distribution Center at Red River Texas. The CDE systems were shipped in 7 separate packages and confirmation of 7 separate packages was provided which showed the receipt by DLA on 21 May 2010.  An inventory, conducted on 2 February 2011, of the 7 packages at the DLA Distribution Center could only account for 40 of the 52 CDE systems.  The AF Radiation Safety Office contacted the DLA Radiation Safety Office indicating that there was a discrepancy in the number of items receipted compared to the number of items identified as shipped by the unit.  The AF Radiation Safety Office provided the list of serial numbers for the 52 items reportedly shipped which were compared to the current inventory on hand.  It was confirmed that there were 12 serial numbers identified on the shipping list that were not in the current inventory.   An initial search of the designated Radioactive Material Storage area did not locate the items.  "It has been identified that a major issue with the turn-in process was the lack of prior notification of transfer of the CDE from the AF units to the DLA Distribution Site at Red River. A global instruction was provided by the AF PM to ship the material, without the PM providing the turn-in documents. Had the AF PM directed all of the shipment, a document would have been generated and the number of items to be shipped would have been provided to the depot. In the current process, the depot could only act reactively based on available material and paperwork.  "The transfer of CDE systems to the DLA Distribution Centers has been suspended until a more accountable process can be determined.  Additionally the AF will, in the future, direct all shipments directly to Wright Patterson AFB for demilitarization and disposal.  A continued effort to search the hazardous material warehouses for these items will continue."   * * * RETRACTION FROM DAVID COLLINS TO JOE O'HARA AT 1642 ON 03/07/11 * * *   "DLA Distribution is retracting the initial report of potential loss (Event # 46651) as the 12 Chemical Agent Detectors have been accounted for at Pine Bluff Arsenal, another Department of Defense facility and the ultimate destruction site.   The materiel was shipped from DLA Distribution Red River to Pine Bluff Arsenal on October 8, 2010, under a different NSN [National Stock Number] than the one originally sent to DLA.  The Chemical Agent Detection (CDE) Equipment can be in multiple configurations, each with their own NSN.  In this case they shipped from the AF unit under one NSN (entire detection system) and we subsequently shipped under a corrected NSN (detector component only)."  Notified R1DO(Hansell), R4DO(Farnholtz), FSME(Reis), Mexico, and ILTAB via e-mail.     THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL  Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf  This source is not amongst those sources or devices identified by the IAEA Code of Conduct for the Safety & Security of Radioactive Sources to be of concern from a radiological standpoint.  Therefore is it being categorized as a less than Category 3 source|
Power Reactor|46653|DAVIS BESSE|FIRSTENERGY NUCLEAR OPERATING COMPANY|3|OAK HARBOR|OH|OTTAWA||Y|05000346|1|||[1] B&W-R-LP|TOM COBBLEDICK|JOHN KNOKE|3/3/2011 00:00:00|20:11|3/3/2011 00:00:00|13:53|EST|3/3/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(A)|POT UNABLE TO SAFE SD|50.72(b)(3)(v)(B)|POT RHR INOP|||||KENNETH RIEMER|R3DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||TEMPORARY LOSS OF EMERGENCY FEEDWATER TRAINS  "While testing fire detection systems, a radio was keyed in the vicinity of the Auxiliary Shutdown Panel. Control Room alarms that occurred at the same time led to a review of plant data. This review revealed two momentary events (approximately 8 and 19 seconds) over an approximate two minute period that caused momentary reductions in the control signals to the Auxiliary Feedwater Pump and Motor-Driven Feedwater Pump discharge control valves. These momentary signal reductions resulted in all trains of Emergency Feedwater being inoperable for approximately two minutes, pending further evaluation.  "With all trains of Emergency Feedwater inoperable, this event is being reported in accordance with 10 CFR 50.72(b)(3)(v) as a momentary loss of safety function for equipment needed to (A) shut down the reactor and maintain it in a safe shutdown condition and to (B) remove residual heat.   "Fire detection testing has been completed, and a sign placed on the Auxiliary Shutdown Panel Room door stating that no radio usage is permitted inside the room."  All trains of Emergency Feedwater are now operable.  The licensee has notified the NRC Resident Inspector.|
Power Reactor|46654|SUSQUEHANNA|PPL SUSQUEHANNA LLC|1|ALLENTOWN|PA|LUZERNE||N|05000387|1|||[1] GE-4,[2] GE-4|RON FRY|BILL HUFFMAN|3/3/2011 00:00:00|23:27|3/3/2011 00:00:00|22:59|EST|3/3/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(i)|PLANT S/D REQD BY TS|||||||ANTHONY DIMITRIADIS|R1DO|||||||||||||||||||N|Y|99|Power Operation|86|Power Operation|N|N|0||0||N|N|0||0||TECHNCIAL SPECIFICATION REQUIRED SHUTDOWN DUE TO INOPERABLE HPCI  At 2259 EST, Susquehanna Unit 1 commenced a TS Required shutdown for High Pressure Coolant Injection (HPCI) T.S. 3.5.1.  Due to a suspected steam leak, the HPCI Inboard Steam Supply Valve HV155F002 was closed to attempt to identify and isolate an unknown drywell leakage condition.  After closing the HV155F002, a detectable change in drywell leak rate occurred, therefore, HV155F002 was left closed. Closing HV155F002 makes HPCI INOP and UNAVAILABLE.  TS 3.5.1 was entered for this condition on 2/25/2011 at 2136 EST. LCO completion time for T.S. 3.5.1 entry is 3/11/2011 at 2136 EST.  The licensee has notified the NRC Resident Inspector and State authorities.  The licensee also anticipates issuing a press release.|
Part 21|46655|FISHER CONTROLS INTERNATIONAL|FISHER CONTROLS INTERNATIONAL|3|MARSHALLTOWN|IA|||Y||||||DENNIS SWANSON|JOHN KNOKE|3/4/2011 00:00:00|12:53|2/25/2011 00:00:00||CST|3/4/2011 00:00:00|NON EMERGENCY|21.21|UNSPECIFIED PARAGRAPH|||||||KENNETH RIEMER|R3DO|MALCOLM WIDMANN|R2DO|PART 21 GROUP||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||PART 21 - ERROR IN VALVE BODY DRAWING   The purpose of this Fisher Information Notice (FIN) is to alert Duke Energy that as of February 25, 2011, Fisher Controls International LLC became aware of the possibility of a situation which may affect the performance of the applicable equipment provided to McGuire Nuclear Station. Specifically, an error was discovered on valve body drawing V112298, when, during a revision process on Revision B of the drawing, a dimension was omitted that set the depth of the valve shaft bearing bore. This error resulted in a greater possible variation of bearing position in the valve shaft bore. If the error was large, the valve could not be assembled which was not the case for these valves. The valves assembled without incident and passed the operational testing, including a seat leakage test, with no anomalies. In the case that the bearing position error was slight, it is possible that the seal and disc could experience more wear than normal and increased leakage would result. Because these valves are equipped with manual operators, Fisher expects that these valves will not be cycled enough to experience any of the potential problems described above.  This equipment included NPS 4, Class 150, Fisher Type A11 Butterfly Valve Assemblies equipped with Fisher Leverlock Manual Actuators. The NPS 4, A11 is a butterfly valve that uses internal bearings (located on either side of the disc) to provide a radial wear surface for shaft rotation and also serve as a centering system for the disc in the waterway. Centering of the disc is accomplished with a wear surface on the end of the bearings adjacent to the side of the disc. Lateral positioning of the disc is accomplished by controlling the length of the bearings and the depth of the bored holes in the body that accept the bearings.  Fisher has revised the drawings to ensure that this issue is corrected.|
Power Reactor|46656|BROWNS FERRY|TENNESSEE VALLEY AUTHORITY|2|DECATUR|AL|LIMESTONE||Y||||3|[1] GE-4,[2] GE-4,[3] GE-4|TIMOTHY SCOTT|BILL HUFFMAN|3/4/2011 00:00:00|16:24|1/3/2011 00:00:00|15:15|CST|3/4/2011 00:00:00|NON EMERGENCY|50.73(a)(1)|INVALID SPECIF SYSTEM ACTUATION|||||||MALCOLM WIDMANN|R2DO|||||||||||||||||||N|N|0||0||N|N|0||0||N|N|0|Refueling|0|Refueling|60 DAY TELEPHONE NOTIFICATON CONCERNING INVALID CONTAINMENT ISOLATION SYSTEM ACTUATIONS  "This 60-day telephone notification is being made under the reporting requirements specified by 10 CFR 50.73(a)(2)(iv) and 10 CFR 50. 73(a)(1) to report four closely-spaced invalid actuations of general containment isolation signals affecting more than one system.  "Four events of unplanned actuations of general containment isolation signals affecting containment Isolation valves in more than one system occurred during planned transfers of power between the normal and alternate power supply for the 3A 480V Shutdown Board.  The first event occurred on January 3, 2011, at 1515 hours Central Standard Time (CST), with Unit 3 in a forced outage and at 0 percent power (0 MWT).  The electrical power to the 3A Reactor Protection System (RPS) was interrupted during the planned transfer of the 3A 480V Shutdown Board from its normal supply to its alternate power supply.  During the transfer, the alternate feeder breaker did not close.  An attempt was made to return to the normal power supply; however, the normal feeder breaker did not initially close but did close on re-attempt. This resulted in the interruption of power to the 3A 480V Shutdown Board, which caused the 3A RPS to de-energize, resulting in a half scram and the actuation of Primary Containment Isolation System (PCIS) logic Groups 2, 3, 6, and 8, and the initiation of Trains A, B, and C Standby Gas Treatment and Train A Control Room Emergency Ventilation.  "Plant conditions, which require PCIS actuations and the associated system initiations (e.g., low reactor water level, high drywell pressure, abnormal area radiation level, or high area temperature), did not exist; therefore, the actuation was invalid.  The affected equipment responded as designed.  "On January 3, 2011, at approximately 1620 hours CST, Unit 3 Operations personnel restored 3A RPS power and re-aligned affected equipment, as appropriate.  This event was entered in the Corrective Action Program as Problem Evaluation Report (PER) 305070.  "Subsequent related failure to transfer events of the 3A 480V Shutdown Board occurred on January 4, 2011, at 2321 hours, on January 5, 2011, at 0448 hours, and on January 5, 2011, at 0841 hours.  In each event the plant conditions which require PCIS actuations and the associated system initiation did not exist; therefore, the actuations were invalid.  In each of the three subsequent events the affected equipment started and functioned successfully with one exception. During the last event, Main Control Room indication of a Secondary Containment outboard isolation damper closure was indeterminate (i.e., double-lit).  The damper was declared inoperable, and the associated Technical Specification LCO 3.6.4.2 Action was taken.  [A} work order [was] issued to investigate the problem repaired a damper limit switch.  This problem was entered in the Corrective Action Program as PER 305062.  "PERs were generated for each of these events (PER 305865, PER 305421, and PER 305893).  All of these events were consolidated into PER 305070.  "The Browns Ferry NRC Senior Resident Inspector has been notified."|
Power Reactor|46657|MONTICELLO|NUCLEAR MANAGEMENT COMPANY|3|MONTICELLO|MN|WRIGHT||N|05000263|1|||[1] GE-3|TODD LYNCH|BILL HUFFMAN|3/5/2011 00:00:00|13:04|3/5/2011 00:00:00|10:45|CST|3/5/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(xi)|OFFSITE NOTIFICATION|||||||KENNETH RIEMER|R3DO|||||||||||||||||||N|N|0|Hot Shutdown|0|Hot Shutdown|N|N|0||0||N|N|0||0||OFFSITE NOTIFICATION RELATED TO FISH KILL  "At 1045 the Monticello Nuclear Generating Plant (MNGP) control room was notified by an Xcel Energy environmental specialist that a fish kill count was conducted on the morning of 3/5/11 following reactor shutdown.  In accordance with the MNGP water appropriations permit for fish kill in the Mississippi river, the environmental specialist will be notifying the State of Minnesota Department of Natural Resources and Minnesota Pollution Control Agency.  "Notifications made to above government agencies meet the reporting criteria established in 10CFR50.72(b)(2)(xi) as an event or situation related to the protection of the environment for which a notification to government agencies has been or will be made.  "Total fish kill was determined to be approximately 100 fish downstream of the plant's discharge canal.  Fish kill was the result of cooldown of water being discharged to the river from the plant's discharge canal.  All temperature limits specified in the plant's water appropriation permit were met throughout the shutdown.  There was no release of any chemical or radioactive materials to the environment."  The licensee has notified the NRC Resident Inspector and will be notifying appropriate state and local authorities.|
Power Reactor|46658|NINE MILE POINT|CONSTELLATION NUCLEAR|1|SYRACUSE|NY|OSWEGO||Y|05000220|1|2||[1] GE-2,[2] GE-5|PATRICK RYAN|CHARLES TEAL|3/6/2011 00:00:00|01:37|3/5/2011 00:00:00|23:15|EST|3/6/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(xi)|OFFSITE NOTIFICATION|||||||ANTHONY DIMITRIADIS|R1DO|||||||||||||||||||N|Y|94|Power Operation|94|Power Operation|N|Y|100|Power Operation|100|Power Operation|N|N|0||0||SPURIOUS SIREN ACTIVATION  "One of the 37 Prompt Notification System sirens surrounding the James A. Fitzpatrick (JAF)/Nine Mile Point (NMP) sites spuriously activated at 2315 EST.  "The Oswego County 911 Center notified the Nine Mile Point Emergency Preparedness Department of the inadvertent siren activation.  "Repair technicians have de-activated and silenced the faulty siren as of 0107 EST.  "The cause of the inadvertent siren activation is not understood at this time. The issue has been entered into the site's Corrective Action Program."  The licensee has notified the NRC Resident Inspector, the Oswego County 911 Center, and the Public Service Commission.|
Power Reactor|46659|FITZPATRICK|ENTERGY NUCLEAR|1|LYCOMING|NY|OSWEGO||Y|05000333|1|||[1] GE-4|TOM RESTUCCIO|CHARLES TEAL|3/6/2011 00:00:00|01:51|3/5/2011 00:00:00|23:15|EST|3/6/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(xi)|OFFSITE NOTIFICATION|||||||ANTHONY DIMITRIADIS|R1DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||SPURIOUS SIREN ACTIVIATION  "The purpose of this report is to provide a telephone notification under 10 CFR 50.72(b)(2)(xi) to notify the NRC of the inadvertent actuation of one Oswego County emergency notification siren at approximately 2315 EST on 3/5/11.  Initial notification to the JFA [James A. Fitzpatrick] Control Room of the siren activation was via on-site security personnel and verified with Oswego County 911 Center.  The faulted siren was alarming intermittently and repair personnel were dispatched to correct the problem.  At 0107 EST, power to the affected siren was de-energized by off-site repair personnel.  "Sirens affected provide coverage to Oswego County.  The sirens are utility owned and shared with the Nine Mile Point site.  "In the event the sirens are needed the county has it's Hyper-Reach (911 call back system) on standby.  "The NRC Senior Resident Inspector has been notified."|
Power Reactor|46660|TURKEY POINT|FLORIDA POWER & LIGHT CO.|2|MIAMI|FL|DADE||Y|05000250|3|||[3] W-3-LP,[4] W-3-LP|PAUL REIMERS|JOHN KNOKE|3/6/2011 00:00:00|19:38|3/6/2011 00:00:00|16:44|EST|3/6/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(iv)(B)|RPS ACTUATION - CRITICAL|||||||MALCOLM WIDMANN|R2DO|||||||||||||||||||M/R|Y|23|Power Operation|0|Hot Standby|N|N|0||0||N|N|0||0||MANUAL REACTOR TRIP DUE TO SECONDARY SODIUM CONCENTRATIONS EXCEEDING CHEMISTRY LIMITS  "This is a 4-hr Non-Emergency notification to the NRCOC [Nuclear Regulatory Commission Operations Center] for an event that results in actuation of the Reactor Protection System (RPS) when the reactor is critical in accordance with 10CFR50.72(b)(2)(iv)(B).  "On 3/6/11 at approx 16:20 [EST], Steam Generator sodium concentrations started to rise and exceeded 3-ONOP-071.1 (Secondary Chemistry Deviation from limits) Action Level 3 criteria (250 ppb Sodium). The plant power was reduced to 25% per 3-ONOP-100, Fast Load Reduction, and a manual plant trip [was] initiated per procedure at 16:44 [EST]. Unit [3] is stabilized in Mode 3, and [the licensee] is performing secondary clean-up."   All rods fully inserted. All safety systems functioned as required. The reactor trip was uncomplicated. Unit 4 was unaffected by this event.  The licensee has notified the NRC Resident Inspector.|
Power Reactor|46661|FARLEY|SOUTHERN NUCLEAR OPERATING COMPANY|2|ASHFORD|AL|HOUSTON||Y|05000348|1|||[1] W-3-LP,[2] W-3-LP|ALTON DEWEESE|JOHN SHOEMAKER|3/7/2011 00:00:00|10:31|3/7/2011 00:00:00|01:40|CST|3/9/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(iv)(A)|VALID SPECIF SYS ACTUATION|||||||MALCOLM WIDMANN|R2DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||INADVERTANT AUTO-START SIGNAL TO THE 1B DIESEL GENERATOR DURING TESTING  "Farley Unit One was conducting FNP-1-STP-80.8, [test procedure for] 1B DG [Diesel Generator] 1000 KW load rejection.  After successfully completing the load rejection portion of the procedure, the control room staff was restoring the 1B diesel to a normal auto start alignment.  With the 1B diesel running, the plant operator was required to reset the 1B DG loading sequencer.  He incorrectly pressed the Emergency Start reset push-button instead of the Sequencer reset push-button. As a result, the Emergency Diesel generator stop light illuminated for a brief few seconds and then extinguished. Subsequently due to the test configuration, the 1B diesel received an auto-start signal and returned to the running condition prior to the Emergency Start reset. Although further investigation is continuing, this report is being made due to an apparent valid actuation of ESF equipment."  This event had no impact on other equipment or the plant electrical alignment.  The Sequencer reset push-button and the Emergency Start reset push-button are not in close proximity to each other.  The plant operator was assessed for fatigue and it was determined that fatigue was not a factor.  The plant operator was removed from duties pending remedial training and assessment.  The licensee has notified the NRC Resident Inspector.  * * * RETRACTION FROM STEVE GATES TO JOE O'HARA AT 1342 ON 03/09/11 * * *   "The 8-hour non-emergency report (EN #46661) per 10CFR50.72(b)(3)(iv)(A) was conservatively reported based on the potential for a valid actuation of an Emergency Diesel Generator (EDG) during a 1000 KW load rejection surveillance test.  "During the restoration phase of the load rejection test to align the 1B EDG to a normal shutdown configuration, a plant operator incorrectly pressed the Emergency Start Reset (ESR) push-button instead of the Sequencer Reset push-button. As a result, the 1B EDG stop light illuminated momentarily and then extinguished. The 1B EDG received a momentary shutdown signal, but remained in a running condition.  "Upon completion of the 1B EDG circuit analysis, It was determined that the 1B EDG did not receive a valid actuation of the EDG safety function. Depressing the ESR push-button caused the emergency start relays to deenergize and remain de-energized. The emergency start relays energize on receipt of valid signals in response to actual plant conditions or parameters satisfying the requirements for the initiation of the safety function of the EDG. Therefore per section 3.2.6 of NUREG-1022, the 1B EDG did not receive a valid actuation signal."  The NRC Resident Inspector has been notified.  Notified R2DO(Musser)|
Power Reactor|46662|MCGUIRE|DUKE POWER|2|CORNELIUS|NC|MECKLENBURG||Y|05000369|1|2||[1] W-4-LP,[2] W-4-LP|JIM DAIN|JOHN SHOEMAKER|3/8/2011 00:00:00|07:28|3/8/2011 00:00:00|03:57|EST|3/8/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(xi)|OFFSITE NOTIFICATION|||||||MALCOLM WIDMANN|R2DO|JOHN THORP|NRR|JEFFERY GRANT|IRD|||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0|Refueling|0|Refueling|N|N|0||0||ONSITE FATALITY  "At 0357 [EST on 3/8/11] the licensee received a call for medical assistance.  The caller reported an individual [contract employee] had passed out but was still breathing.  Our [McGuire] onsite medical response team reported the person was not breathing and in cardiac arrest.  The person was transported offsite via ambulance [Gileade Volunteer Fire and Rescue] to the local hospital.  At 0602 EST, the licensee received word that the individual had passed away at the hospital."  The licensee will notify the NRC Resident Inspector|
Fuel Cycle Facility|46663|GLOBAL NUCLEAR FUEL - AMERICAS|GLOBAL NUCLEAR FUEL - AMERICAS|2|WILMINGTON|NC|NEW HANOVER|SNM-1097|Y|07001113||||URANIUM FUEL FABRICATION|SCOTT MURRAY|CHARLES TEAL|3/8/2011 00:00:00|10:18|3/8/2011 00:00:00||EST|3/8/2011 00:00:00|NON EMERGENCY||OTHER UNSPEC REQMNT|||||||MALCOLM WIDMANN|R2DO|BRIAN SMITH|NMSS|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||GNF PROCEDURE 40-32 LOSS OF A SINGLE MATERIAL CONTROL TRANSACTION  "At approximately 7:00 a.m. on Monday, March 7th, it was reported that a can of powder was present on a conveyor in the UO2 press feed area without the required material control transaction.  At approximately 10:10 a.m. it was discovered that the can contained three vacuum bags of powder.  The transaction is one criticality control for the conveyor to ensure only authorized dry materials are stored.  "The second controlled parameter (mass of uranium in each can) was maintained at all times.  As a result, no unsafe condition existed.  The total amount of UO2 powder in the improperly stored can was approximately 13.6 kg.  The material control transactions have been properly performed and the can has been transferred to an approved storage location.  "As a result, SNM movements have been ceased pending investigation and implementation of additional corrective actions."  The licensee has notified the NRC Resident (Thomas), New Hanover County Emergency Management, and North Carolina of Environment and Natural Resources.|
Power Reactor|46664|MCGUIRE|DUKE POWER|2|CORNELIUS|NC|MECKLENBURG||Y|05000369|1|2||[1] W-4-LP,[2] W-4-LP|MARK MCNEELY|JOHN SHOEMAKER|3/9/2011 00:00:00|11:20|3/9/2011 00:00:00|10:55|EST|3/14/2011 00:00:00|NON EMERGENCY|26.719|FITNESS FOR DUTY|||||||REBECCA NEASE|R2DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0|Refueling|0|Refueling|N|N|0||0||FITNESS FOR DUTY  A non-licensed employee failed to meet fitness-for-duty criteria.  The employee's access to the plant has been terminated.  Contact the NRC Headquarters Operations Officer for additional details.  * * * UPDATE FROM MARK S. MCNEELY TO JOHN SHOEMAKER AT 1025 EST ON 03/14/11 * * *   An update to this report has been provided by the licensee.  Contact the NRC Headquarters Operations Officer for additional details.  Notified R2DO Nease)|
Hospital|46665|UNIVERSITY OF MICHIGAN HOSPITAL|UNIVERSITY OF MICHIGAN HOSPITAL|3|Ann Arbor|MI||21-00215-04|N||||||MARK DRISCOLL|JOHN SHOEMAKER|3/10/2011 00:00:00|11:15|3/9/2011 00:00:00|10:00|EST|3/10/2011 00:00:00|NON EMERGENCY|35.3045(a)(1)|DOSE <> PRESCRIBED DOSAGE|||||||BILLY DICKSON|R3DO|ANGELA MCINTOSH|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||MEDICAL EVENT INVOLVING ADMINISTRATION OF GREATER THAN ORDERED DOSE  "An Authorized User physician from the University of Michigan Department of Radiation Oncology planned two liver infusion treatments for a patient with unresectable hepatocellular carcinoma using Y-90 Theraspheres.  As part of treatment preparation, an MRI was performed on the patient to determine the patient's liver segment volumes.  Liver segment volumes are used in calculating the Y-90 activity needed to deliver the prescribed radiation dose to particular segments of the liver.  The first treatment was to the right lobe and medial segment of the patient's liver and was performed on 12/15/2010.  It proceeded without incident and in accordance with the written directive.    "The Authorized User physician scheduled a second separate treatment to the patient's left lobe to be performed on 3/9/2011.  The Authorized User ordered a 74.4 Gy dose to the left lobe of the liver.  The medical physicist calculated a corresponding dosage of 60.5 mCi of Y-90 to be infused into the left lobe of the liver.  "However, in arriving at the Y-90 activity needed, a medical physicist used the liver segment volumes for the right lobe and medial segment combined instead of that for the left lobe.  The volume of the right lobe and medial segment is much larger than that for the left lobe.  As a result, the Y-90 dosage of 60.5 mCi exceeded what was actually needed to deliver the prescribed dose of 74.4 Gy.  The Y-90 was infused into to the left lobe on 3/9/2011 at approximately 10 [EST].  Based on the Authorized User's reassessment of the left lobe volume, the dose to the left lobe is calculated, post-administration, to be 159.4 Gy.  "The patient was notified of the event on 3/9/2011.  The referring physician was also notified on the morning of 3/10/2011.  The Authorized User physician has concluded that the elevated radiation dose to the patient's liver will not result in permanent medical damage or loss of function.  Upon initial investigation this event appears to possibly be due to a problem in transcription however causes and corrective actions are still being evaluated."  A Medical Event may indicate potential problems in a medical facility's use of radioactive materials.  It does not necessarily result in harm to the patient.|
