AIANHH,STATE,COUNTY,COUSUBCE,RT,CODE,POP,VAPOP,VACIT,VACLANG,VACLEP,ILLIT,CILLIT,LEPPCT,ILLRAT,FENG5I,FENG10I,NAME1,STABRV,NAME21,RACEGP
0000,06,029,000,2,,254060,151105,94805,66250,23285,5435,8330,604,2334,*,#,Kern County,CA,,SPANISH/HISPANIC/LATINO
0000,06,031,000,1,,129460,92140,79865,22965,6870,1020,2310,860,1485,,,Kings County,CA,,TOTAL PERSONS
0000,06,031,000,2,,56485,36235,25435,16720,5080,870,1750,636,1713,*,,Kings County,CA,,SPANISH/HISPANIC/LATINO
0000,06,033,000,1,,58310,44355,42605,2940,905,170,705,212,1878,,,Lake County,CA,,TOTAL PERSONS
0000,06,033,000,2,,6475,3890,2755,1480,525,155,245,123,2952,+,,Lake County,CA,,SPANISH/HISPANIC/LATINO
0000,06,035,000,1,,33830,26485,26190,3880,1015,70,345,388,690,,,Lassen County,CA,,TOTAL PERSONS
0000,06,035,000,2,,4555,3645,3465,1845,490,60,250,187,1224,+,,Lassen County,CA,,SPANISH/HISPANIC/LATINO
0000,06,037,000,1,,9519340,6859535,4992965,1915795,788775,95570,144425,1580,1212,,,Los Angeles County,CA,,TOTAL PERSONS
0000,06,037,000,2,,4243485,2710015,1386205,1074700,428580,68250,93550,858,1592,*,#,Los Angeles County,CA,,SPANISH/HISPANIC/LATINO
0000,06,037,000,6,004,369365,285530,189820,159535,95700,10245,11560,192,1071,,#,Los Angeles County,CA,,CHINESE (INCLUDING TAIWANESE)
0000,06,037,000,6,005,301295,224290,156320,117705,34985,1560,2570,070,446,,#,Los Angeles County,CA,,FILIPINO
0000,06,037,000,6,008,140560,113870,85765,26925,12510,360,605,025,288,,#,Los Angeles County,CA,,JAPANESE
0000,06,037,000,6,009,194310,149695,79740,68405,42390,1130,1370,085,267,,#,Los Angeles County,CA,,KOREAN
0000,06,037,000,6,015,89080,67040,48070,44765,30340,3160,3490,061,1042,,#,Los Angeles County,CA,,VIETNAMESE
0000,06,039,000,1,,123110,86790,71505,17080,5400,1135,2410,755,2102,,,Madera County,CA,,TOTAL PERSONS
0000,06,039,000,2,,54485,33180,18895,13200,4380,1020,1770,613,2329,*,,Madera County,CA,,SPANISH/HISPANIC/LATINO
0000,06,041,000,1,,247290,197280,175745,21175,5655,355,1090,322,628,,,Marin County,CA,,TOTAL PERSONS
0000,06,041,000,2,,27440,19850,8960,4605,1675,210,325,095,1254,+,,Marin County,CA,,SPANISH/HISPANIC/LATINO
0000,06,043,000,1,,17130,13330,13190,655,95,10,150,072,1053,,,Mariposa County,CA,,TOTAL PERSONS
0000,06,043,000,2,,1280,830,760,220,55,10,55,042,1818,+,,Mariposa County,CA,,SPANISH/HISPANIC/LATINO
0000,06,045,000,1,,86265,64340,59080,5350,1665,250,670,282,1502,,,Mendocino County,CA,,TOTAL PERSONS
0000,06,045,000,2,,14000,8375,4030,2445,1075,215,255,182,2000,+,,Mendocino County,CA,,SPANISH/HISPANIC/LATINO
0000,06,047,000,1,,210555,138140,109900,34100,12860,3255,5125,1170,2531,,,Merced County,CA,,TOTAL PERSONS
0000,06,047,000,2,,95610,56075,32890,23600,8500,1955,2900,773,2300,*,,Merced County,CA,,SPANISH/HISPANIC/LATINO
0000,06,049,000,1,,9450,7030,6710,460,145,25,110,216,1724,,,Modoc County,CA,,TOTAL PERSONS
0000,06,049,000,2,,990,560,360,215,65,25,40,097,3846,+,,Modoc County,CA,,SPANISH/HISPANIC/LATINO
0000,06,051,000,1,,12855,9955,8960,755,265,15,30,296,566,,,Mono County,CA,,TOTAL PERSONS
0000,06,051,000,2,,2250,1410,615,330,125,15,15,140,1200,+,,Mono County,CA,,SPANISH/HISPANIC/LATINO
0000,06,053,000,1,,401760,287820,217070,66175,23490,4255,7060,1082,1811,,,Monterey County,CA,,TOTAL PERSONS
0000,06,053,000,2,,188390,117600,57040,44350,16935,3880,5580,780,2291,*,#,Monterey County,CA,,SPANISH/HISPANIC/LATINO
0000,06,055,000,1,,124280,94240,81325,11435,3860,390,1120,475,1010,,,Napa County,CA,,TOTAL PERSONS
0000,06,055,000,2,,29350,18600,8045,5365,2380,305,495,293,1282,+,,Napa County,CA,,SPANISH/HISPANIC/LATINO
0000,06,057,000,1,,92035,70925,69110,3410,790,50,200,114,633,,,Nevada County,CA,,TOTAL PERSONS
0000,06,057,000,2,,5175,3360,2400,875,220,40,70,032,1818,+,,Nevada County,CA,,SPANISH/HISPANIC/LATINO
0000,06,059,000,1,,2846290,2079160,1631415,425655,171255,15900,26250,1050,928,,,Orange County,CA,,TOTAL PERSONS
0000,06,059,000,2,,876450,550485,253565,171000,64385,10230,14685,395,1589,+,#,Orange County,CA,,SPANISH/HISPANIC/LATINO
0000,06,059,000,6,004,71275,54155,39565,30540,14805,645,815,091,436,,#,Orange County,CA,,CHINESE (INCLUDING TAIWANESE)
0000,06,059,000,6,009,60730,44480,25235,21620,12240,290,365,075,237,,#,Orange County,CA,,KOREAN
0000,06,059,000,6,015,141755,103290,71075,67785,45730,3155,3570,280,690,,#,Orange County,CA,,VIETNAMESE
0000,06,061,000,1,,248400,182965,175125,13665,3985,375,1235,228,941,,,Placer County,CA,,TOTAL PERSONS
0000,06,061,000,2,,23795,15325,11495,4515,1580,280,410,090,1772,+,,Placer County,CA,,SPANISH/HISPANIC/LATINO
0000,06,063,000,1,,20825,16100,15885,690,115,0,50,072,000,,,Plumas County,CA,,TOTAL PERSONS
0000,06,063,000,2,,1095,675,530,165,45,0,4,028,000,+,,Plumas County,CA,,SPANISH/HISPANIC/LATINO
0000,06,065,000,1,,1545385,1078310,918775,202595,67120,8750,16125,731,1304,,,Riverside County,CA,,TOTAL PERSONS
0000,06,065,000,2,,559330,334800,204215,140630,49495,7835,11525,539,1583,*,#,Riverside County,CA,,SPANISH/HISPANIC/LATINO
0000,06,067,000,1,,1223500,887270,796640,128955,47610,6025,11545,598,1265,,,Sacramento County,CA,,TOTAL PERSONS
0000,06,067,000,2,,195615,122470,89910,44925,13440,1925,2980,169,1432,+,#,Sacramento County,CA,,SPANISH/HISPANIC/LATINO
0000,06,069,000,1,,53235,36145,30395,8930,2975,590,850,979,1983,,,San Benito County,CA,,TOTAL PERSONS
0000,06,069,000,2,,25580,16000,10765,7315,2540,555,760,836,2185,*,,San Benito County,CA,,SPANISH/HISPANIC/LATINO
0000,06,071,000,1,,1709435,1158325,989410,240120,78250,8985,17445,791,1148,,,San Bernardino County,CA,,TOTAL PERSONS
0000,06,071,000,2,,669900,400350,266890,169975,56250,7595,11335,569,1350,*,#,San Bernardino County,CA,,SPANISH/HISPANIC/LATINO
0000,06,073,000,1,,2813835,2093080,1788075,398925,128010,12355,22335,716,965,,,San Diego County,CA,,TOTAL PERSONS
0000,06,073,000,2,,750990,476655,285390,201760,65520,8385,12595,366,1280,+,#,San Diego County,CA,,SPANISH/HISPANIC/LATINO
0000,06,073,000,6,005,144930,103325,78195,52830,17155,785,1135,096,458,,#,San Diego County,CA,,FILIPINO
0000,06,075,000,1,,776735,664780,553675,200635,102805,14045,18420,1857,1366,,,San Francisco County,CA,,TOTAL PERSONS
0000,06,075,000,2,,109565,84975,52570,36470,14645,1935,2535,265,1321,+,#,San Francisco County,CA,,SPANISH/HISPANIC/LATINO
0000,06,075,000,6,004,163880,133230,102815,87430,58735,9920,11325,1061,1689,*,#,San Francisco County,CA,,CHINESE (INCLUDING TAIWANESE)
0000,06,077,000,1,,563600,389395,331050,75030,29175,4735,8690,881,1623,,,San Joaquin County,CA,,TOTAL PERSONS
0000,06,077,000,2,,172025,105415,67600,40970,14630,2515,3835,442,1719,+,#,San Joaquin County,CA,,SPANISH/HISPANIC/LATINO
0000,06,079,000,1,,246680,193615,182390,18135,4560,355,1655,250,779,,,San Luis Obispo County,CA,,TOTAL PERSONS
0000,06,079,000,2,,40115,26920,19320,8980,2490,295,715,137,1185,+,,San Luis Obispo County,CA,,SPANISH/HISPANIC/LATINO
0000,06,081,000,1,,707160,545750,443860,136080,48695,3760,6010,1097,772,,,San Mateo County,CA,,TOTAL PERSONS
0000,06,081,000,2,,154390,105270,55995,39330,15365,1920,2640,346,1250,+,#,San Mateo County,CA,,SPANISH/HISPANIC/LATINO
0000,06,081,000,6,004,53920,41440,32570,24585,11780,735,825,265,624,,#,San Mateo County,CA,,CHINESE (INCLUDING TAIWANESE)
0000,06,083,000,1,,399345,300575,252050,50490,15645,2020,3580,621,1291,,,Santa Barbara County,CA,,TOTAL PERSONS
0000,06,083,000,2,,136735,87240,48750,30760,10595,1765,2735,420,1666,+,#,Santa Barbara County,CA,,SPANISH/HISPANIC/LATINO
0000,06,085,000,1,,1682585,1267025,974140,311595,125290,10020,17470,1286,800,,,Santa Clara County,CA,,TOTAL PERSONS
0000,06,085,000,2,,404010,267950,162280,100300,33520,4870,8280,344,1453,+,#,Santa Clara County,CA,,SPANISH/HISPANIC/LATINO
0000,06,085,000,6,004,130655,97780,61620,49095,24895,1275,1560,256,512,,#,Santa Clara County,CA,,CHINESE (INCLUDING TAIWANESE)
0000,06,085,000,6,005,90115,64370,44950,31170,11245,410,945,115,365,,#,Santa Clara County,CA,,FILIPINO
0000,06,085,000,6,015,102840,75290,48375,46135,31265,1800,2125,321,576,,#,Santa Clara County,CA,,VIETNAMESE
0000,06,087,000,1,,255600,195165,167150,27235,8775,1490,2690,525,1698,,,Santa Cruz County,CA,,TOTAL PERSONS
0000,06,087,000,2,,68570,43965,22355,15135,5955,1270,1755,356,2133,+,,Santa Cruz County,CA,,SPANISH/HISPANIC/LATINO
0000,06,089,000,1,,163255,120645,117895,5625,1415,170,935,120,1201,,,Shasta County,CA,,TOTAL PERSONS
0000,06,089,000,2,,8825,5230,4130,1635,490,65,115,042,1327,+,,Shasta County,CA,,SPANISH/HISPANIC/LATINO
0000,06,091,000,1,,3555,2725,2685,160,35,4,10,130,1143,,,Sierra County,CA,,TOTAL PERSONS
0000,06,091,000,2,,,,,,,,,,,+,,Sierra County,CA,,SPANISH/HISPANIC/LATINO
0000,06,093,000,1,,44300,33730,32665,1910,550,75,270,168,1364,,,Siskiyou County,CA,,TOTAL PERSONS
0000,06,093,000,2,,3205,1945,1290,655,265,35,45,081,1321,+,,Siskiyou County,CA,,SPANISH/HISPANIC/LATINO
0000,06,095,000,1,,394540,282975,256255,49355,15285,1160,3875,596,759,,,Solano County,CA,,TOTAL PERSONS
0000,06,095,000,2,,69605,43515,29530,16440,5605,650,1215,219,1160,+,,Solano County,CA,,SPANISH/HISPANIC/LATINO
0000,06,097,000,1,,458615,347165,310645,34420,10495,1355,4690,338,1291,,,Sonoma County,CA,,TOTAL PERSONS
0000,06,097,000,2,,79625,50855,24615,13875,5135,1035,1550,165,2016,+,,Sonoma County,CA,,SPANISH/HISPANIC/LATINO
0000,06,099,000,1,,446995,308180,265720,57695,20560,3955,7145,774,1924,,,Stanislaus County,CA,,TOTAL PERSONS
0000,06,099,000,2,,141925,83665,51640,34545,12035,2350,3485,453,1953,+,#,Stanislaus County,CA,,SPANISH/HISPANIC/LATINO
0000,06,101,000,1,,78930,56165,47805,8655,3165,465,835,662,1469,,,Sutter County,CA,,TOTAL PERSONS
0000,06,101,000,2,,17500,10590,5580,3955,1665,340,405,348,2042,+,,Sutter County,CA,,SPANISH/HISPANIC/LATINO
0000,06,103,000,1,,56040,40665,38145,3045,1200,225,540,315,1875,,,Tehama County,CA,,TOTAL PERSONS
0000,06,103,000,2,,8875,4945,2770,1865,920,215,295,241,2337,+,,Tehama County,CA,,SPANISH/HISPANIC/LATINO
0000,06,105,000,1,,13020,10045,9940,400,55,0,35,055,000,,,Trinity County,CA,,TOTAL PERSONS
0000,06,105,000,2,,475,310,305,105,15,0,4,015,000,+,,Trinity County,CA,,SPANISH/HISPANIC/LATINO
0000,06,107,000,1,,368020,243835,193760,57330,19475,4580,8720,1005,2352,,,Tulare County,CA,,TOTAL PERSONS
0000,06,107,000,2,,186915,109160,64225,46035,15505,3635,5870,800,2344,*,#,Tulare County,CA,,SPANISH/HISPANIC/LATINO
0000,06,109,000,1,,54500,43215,42630,2220,510,35,325,120,686,,,Tuolumne County,CA,,TOTAL PERSONS
0000,06,109,000,2,,4410,3280,3120,1055,265,35,85,062,1321,+,,Tuolumne County,CA,,SPANISH/HISPANIC/LATINO
0000,06,111,000,1,,753195,539600,458420,104015,35825,5115,8095,781,1428,,,Ventura County,CA,,TOTAL PERSONS
0000,06,111,000,2,,251965,160010,96780,67065,24505,4625,6410,535,1887,*,#,Ventura County,CA,,SPANISH/HISPANIC/LATINO
0000,06,113,000,1,,168660,126230,107965,22760,7085,950,1895,656,1341,,,Yolo County,CA,,TOTAL PERSONS
0000,06,113,000,2,,43745,27935,17665,11430,4180,850,1220,387,2033,+,,Yolo County,CA,,SPANISH/HISPANIC/LATINO
0000,06,115,000,1,,60220,41615,37330,4655,1835,400,950,492,2180,,,Yuba County,CA,,TOTAL PERSONS
0000,06,115,000,2,,10370,6070,3375,2115,965,165,230,259,1710,+,,Yuba County,CA,,SPANISH/HISPANIC/LATINO
0000,08,003,000,1,,14965,10865,10525,2860,720,85,175,684,1181,,,Alamosa County,CO,,TOTAL PERSONS
0000,08,003,000,2,,6220,4135,3880,2455,565,85,160,537,1504,*,,Alamosa County,CO,,SPANISH/HISPANIC/LATINO
0000,08,021,000,1,,8400,5705,5555,2770,740,105,185,1332,1419,,,Conejos County,CO,,TOTAL PERSONS
0000,08,021,000,2,,4965,3340,3205,2465,680,100,175,1224,1471,*,,Conejos County,CO,,SPANISH/HISPANIC/LATINO
0000,08,023,000,1,,3665,2745,2600,1590,525,85,110,2019,1619,,,Costilla County,CO,,TOTAL PERSONS
0000,08,023,000,2,,2470,1790,1665,1470,490,80,100,1885,1633,*,,Costilla County,CO,,SPANISH/HISPANIC/LATINO
0000,08,025,000,1,,5520,4480,4460,675,255,25,75,572,980,,,Crowley County,CO,,TOTAL PERSONS
0000,08,025,000,2,,1245,950,930,610,245,25,40,549,1020,*,,Crowley County,CO,,SPANISH/HISPANIC/LATINO
0000,08,031,000,1,,554635,433875,372815,55205,16935,1990,5020,454,1175,,,Denver County,CO,,TOTAL PERSONS
0000,08,031,000,2,,176065,116395,70750,33560,10880,1545,3040,292,1420,,#,Denver County,CO,,SPANISH/HISPANIC/LATINO
0000,08,089,000,1,,20310,14860,14225,3045,925,175,355,650,1892,,,Otero County,CO,,TOTAL PERSONS
0000,08,089,000,2,,7700,5070,4490,2670,840,165,275,591,1964,*,,Otero County,CO,,SPANISH/HISPANIC/LATINO
0000,08,105,000,1,,12415,8915,8605,2395,610,100,175,709,1639,,,Rio Grande County,CO,,TOTAL PERSONS
0000,08,105,000,2,,5185,3355,3075,2210,535,85,150,622,1589,*,,Rio Grande County,CO,,SPANISH/HISPANIC/LATINO
0000,08,109,000,1,,5915,4240,3710,1045,270,85,130,728,3148,,,Saguache County,CO,,TOTAL PERSONS
0000,08,109,000,2,,2695,1705,1225,925,250,85,115,674,3400,*,,Saguache County,CO,,SPANISH/HISPANIC/LATINO
0000,09,001,010,1,,139530,100145,84995,30840,13645,1725,2975,1605,1264,,,"Bridgeport town, Fairfield County",CT,,TOTAL PERSONS
0000,09,001,010,2,,44570,28405,23640,21250,9585,1185,1685,1128,1236,*,,"Bridgeport town, Fairfield County",CT,,SPANISH/HISPANIC/LATINO
0000,09,003,070,1,,121580,85065,74310,32010,15145,2095,3535,2038,1383,,,"Hartford town, Hartford County",CT,,TOTAL PERSONS
0000,09,003,070,2,,49325,30475,27545,24955,12400,1790,2485,1669,1444,*,#,"Hartford town, Hartford County",CT,,SPANISH/HISPANIC/LATINO
0000,09,003,090,1,,71540,54320,48030,17375,7520,680,1175,1566,904,,,"New Britain town, Hartford County",CT,,TOTAL PERSONS
0000,09,003,090,2,,19110,11240,10520,9180,4140,355,580,862,857,*,,"New Britain town, Hartford County",CT,,SPANISH/HISPANIC/LATINO
0000,09,009,055,1,,58245,43340,41645,8875,3475,300,555,834,863,,,"Meriden town, New Haven County",CT,,TOTAL PERSONS
0000,09,009,055,2,,12280,7465,6680,5980,2600,220,290,624,846,*,,"Meriden town, New Haven County",CT,,SPANISH/HISPANIC/LATINO
0000,09,009,075,1,,123625,92310,83705,18640,6905,705,1700,825,1021,,,"New Haven town, New Haven County",CT,,TOTAL PERSONS
0000,09,009,075,2,,26500,16795,13290,11085,5090,540,880,608,1061,*,,"New Haven town, New Haven County",CT,,SPANISH/HISPANIC/LATINO
0000,09,009,120,1,,107270,78880,73015,18290,7980,970,1815,1093,1216,,,"Waterbury town, New Haven County",CT,,TOTAL PERSONS
0000,09,009,120,2,,23430,13755,12140,10475,5045,585,805,691,1160,*,,"Waterbury town, New Haven County",CT,,SPANISH/HISPANIC/LATINO
0000,09,015,070,1,,22855,17575,16450,3745,1425,160,330,866,1123,,,"Windham town, Windham County",CT,,TOTAL PERSONS
0000,09,015,070,2,,6110,3690,3045,2625,1180,145,230,717,1229,*,,"Windham town, Windham County",CT,,SPANISH/HISPANIC/LATINO
0000,12,011,000,1,,1623020,1241555,1047725,216825,65170,3435,11180,622,527,,,Broward County,FL,,TOTAL PERSONS
0000,12,011,000,2,,271525,197155,126285,108765,35780,1840,2780,342,514,,#,Broward County,FL,,SPANISH/HISPANIC/LATINO
0000,12,049,000,1,,26940,19495,16295,3030,1020,340,865,626,3333,,,Hardee County,FL,,TOTAL PERSONS
0000,12,049,000,2,,9700,5905,2855,2575,900,315,515,552,3500,*,,Hardee County,FL,,SPANISH/HISPANIC/LATINO
0000,12,051,000,1,,36210,25325,19545,4170,1585,305,880,811,1924,,,Hendry County,FL,,TOTAL PERSONS
0000,12,051,000,2,,14260,9290,4015,3500,1430,305,440,732,2133,*,,Hendry County,FL,,SPANISH/HISPANIC/LATINO
0000,12,057,000,1,,998950,746900,688070,108590,36480,2890,8845,530,792,,,Hillsborough County,FL,,TOTAL PERSONS
0000,12,057,000,2,,179635,124785,90330,72580,27480,2485,3640,399,904,,#,Hillsborough County,FL,,SPANISH/HISPANIC/LATINO
0000,12,086,000,1,,2253360,1695940,1164345,677905,307800,25380,38485,2644,825,,,Miami-Dade County,FL,,TOTAL PERSONS
0000,12,086,000,2,,1291680,1014770,588235,554605,273975,22660,27855,2353,827,*,#,Miami-Dade County,FL,,SPANISH/HISPANIC/LATINO
0000,12,095,000,1,,896345,670765,606700,119360,42070,2300,7020,693,547,,,Orange County,FL,,TOTAL PERSONS
0000,12,095,000,2,,168190,117115,91430,80480,30935,1930,2805,510,624,*,#,Orange County,FL,,SPANISH/HISPANIC/LATINO
0000,12,097,000,1,,172495,126280,113850,32120,13165,705,1355,1156,536,,,Osceola County,FL,,TOTAL PERSONS
0000,12,097,000,2,,50740,34275,28070,25885,11375,620,785,999,545,*,#,Osceola County,FL,,SPANISH/HISPANIC/LATINO
0000,12,099,000,1,,1131185,891900,794435,112340,37965,2860,7940,478,753,,,Palm Beach County,FL,,TOTAL PERSONS
0000,12,099,000,2,,140570,99760,57280,48465,20020,1850,2640,252,924,,#,Palm Beach County,FL,,SPANISH/HISPANIC/LATINO
0000,15,003,000,1,,876155,668715,610845,155525,68665,6330,10860,1124,922,,,Honolulu County,HI,,TOTAL PERSONS
0000,15,003,000,6,004,137095,95445,88600,24295,12640,1705,2360,207,1349,,#,Honolulu County,HI,,CHINESE (INCLUDING TAIWANESE)
