FILEID,STUSAB,SUMLEV,GEOCOMP,CHARITER,CIFSN,LOGRECNO,REGION,DIVISION,STATE,COUNTY,COUNTYCC,COUNTYSC,COUSUB,COUSUBCC,COUSUBSC,PLACE,PLACECC,PLACESC,TRACT,BLKGRP,BLOCK,IUC,CONCIT,CONCITCC,CONCITSC,AIANHH,AIANHHFP,AIANHHCC,AIHHTLI,AITSCE,AITS,AITSCC,TTRACT,TBLKGRP,ANRC,ANRCCC,CBSA,CBSASC,METDIV,CSA,NECTA,NECTASC,NECTADIV,CNECTA,CBSAPCI,NECTAPCI,UA,UASC,UATYPE,UR,CD,SLDU,SLDL,VTD,VTDI,RESERVE2,ZCTA5,SUBMCD,SUBMCDCC,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,RESERVE3,UGA,STATENS,COUNTYNS,COUSUBNS,PLACENS,CONCITNS,AIANHHNS,AITSNS,ANRCNS,SUBMCDNS,CD113,CD114,CD115,SLDU2,SLDU3,SLDU4,SLDL2,SLDL3,SLDL4,AIANHHSC,CSASC,CNECTASC,MEMI,NMEMI,PUMA,RESERVED
PLST,IL,511,0,0,,0000011,2,3,17,031,H1,,,,,,,,381200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,121724,0,Census Tract 3812 (part),S,,869,441,41.8083296,-87.6129466,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000012,2,3,17,031,H1,,,,,,,,381900,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,88377,0,Census Tract 3819 (part),S,,583,301,41.8037714,-87.6119321,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000013,2,3,17,031,H1,,,,,,,,390300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,81786,0,Census Tract 3903 (part),S,,1175,847,41.8104721,-87.6041543,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000014,2,3,17,031,H1,,,,,,,,390400,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,326308,0,Census Tract 3904,S,,2934,1654,41.8068329,-87.6040768,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000015,2,3,17,031,H1,,,,,,,,390500,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,326518,0,Census Tract 3905,S,,1598,847,41.8069004,-87.5979997,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000016,2,3,17,031,H1,,,,,,,,390600,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,324629,0,Census Tract 3906,S,,1866,930,41.8051133,-87.5943211,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000017,2,3,17,031,H1,,,,,,,,390700,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,610276,3224,Census Tract 3907 (part),S,,5592,3729,41.8048954,-87.5860528,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000018,2,3,17,031,H1,,,,,,,,400300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,1003935,140288,Census Tract 4003 (part),S,,2,0,41.7897177,-87.6114372,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000019,2,3,17,031,H1,,,,,,,,400400,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,163739,0,Census Tract 4004 (part),S,,895,459,41.7902099,-87.6186833,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000020,2,3,17,031,H1,,,,,,,,400500,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,163743,0,Census Tract 4005 (part),S,,1193,531,41.7900105,-87.6230564,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000021,2,3,17,031,H1,,,,,,,,400800,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,493311,0,Census Tract 4008,S,,2701,1332,41.7822986,-87.6192927,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000022,2,3,17,031,H1,,,,,,,,410100,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,219487,7477,Census Tract 4101 (part),S,,1802,1242,41.8010176,-87.5852839,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000023,2,3,17,031,H1,,,,,,,,410200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,65110,0,Census Tract 4102,S,,1443,736,41.8016676,-87.5946703,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000024,2,3,17,031,H1,,,,,,,,410500,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,262840,0,Census Tract 4105,S,,2557,1463,41.7977335,-87.6042009,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000025,2,3,17,031,H1,,,,,,,,410600,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,252558,0,Census Tract 4106,S,,2327,1220,41.7973406,-87.5993026,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000026,2,3,17,031,H1,,,,,,,,410700,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,260191,0,Census Tract 4107,S,,2154,1185,41.7984626,-87.595404,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000027,2,3,17,031,H1,,,,,,,,410800,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,249757,0,Census Tract 4108,S,,2662,1825,41.7973317,-87.5897156,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000028,2,3,17,031,H1,,,,,,,,410900,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,74998,0,Census Tract 4109 (part),S,,570,446,41.7977146,-87.5863346,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000029,2,3,17,031,H1,,,,,,,,411000,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,166396,0,Census Tract 4110 (part),S,,1447,806,41.7924077,-87.5872853,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000030,2,3,17,031,H1,,,,,,,,411100,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,282972,0,Census Tract 4111,S,,2132,973,41.7897214,-87.5896095,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000031,2,3,17,031,H1,,,,,,,,411200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,402445,0,Census Tract 4112,S,,1640,837,41.7912355,-87.5936191,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000032,2,3,17,031,H1,,,,,,,,420100,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,220379,0,Census Tract 4201 (part),S,,1441,786,41.7825854,-87.5892628,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000033,2,3,17,031,H1,,,,,,,,420200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,278188,0,Census Tract 4202,S,,1723,761,41.7832831,-87.5935187,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000034,2,3,17,031,H1,,,,,,,,420300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,245119,0,Census Tract 4203,S,,2488,730,41.7832237,-87.5991016,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000035,2,3,17,031,H1,,,,,,,,420400,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,245127,0,Census Tract 4204,S,,1329,864,41.7831826,-87.6039636,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000036,2,3,17,031,H1,,,,,,,,420500,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,245980,0,Census Tract 4205,S,,2624,1576,41.7830948,-87.6087422,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000037,2,3,17,031,H1,,,,,,,,420600,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,243609,0,Census Tract 4206,S,,2219,1150,41.7830189,-87.612969,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000038,2,3,17,031,H1,,,,,,,,420700,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,650530,0,Census Tract 4207,S,,3261,1766,41.7775946,-87.6110513,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000039,2,3,17,031,H1,,,,,,,,420800,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,347604,0,Census Tract 4208,S,,2213,1082,41.7771732,-87.6041276,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000040,2,3,17,031,H1,,,,,,,,421200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,328222,0,Census Tract 4212,S,,1380,763,41.7703676,-87.6084514,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000041,2,3,17,031,H1,,,,,,,,430200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,164980,0,Census Tract 4302 (part),S,,2345,1208,41.7722544,-87.5841404,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000042,2,3,17,031,H1,,,,,,,,430300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,408973,0,Census Tract 4303,S,,2336,1254,41.769905,-87.588769,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000043,2,3,17,031,H1,,,,,,,,430400,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,545168,0,Census Tract 4304,S,,2892,1453,41.7626114,-87.589684,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000044,2,3,17,031,H1,,,,,,,,440101,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,382677,0,Census Tract 4401.01,S,,3746,2424,41.7485856,-87.6011663,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000045,2,3,17,031,H1,,,,,,,,440102,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,627506,0,Census Tract 4401.02,S,,3127,1987,41.7412507,-87.6022214,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000046,2,3,17,031,H1,,,,,,,,440201,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,531537,0,Census Tract 4402.01,S,,5060,2885,41.7484637,-87.6097003,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000047,2,3,17,031,H1,,,,,,,,440202,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,781697,0,Census Tract 4402.02,S,,2999,1762,41.7411455,-87.6102005,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000048,2,3,17,031,H1,,,,,,,,440300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,1291887,0,Census Tract 4403,S,,4757,2320,41.7435198,-87.6203729,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000049,2,3,17,031,H1,,,,,,,,440600,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,669816,0,Census Tract 4406,S,,2080,852,41.7325575,-87.6184588,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000050,2,3,17,031,H1,,,,,,,,440700,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,327461,0,Census Tract 4407,S,,1545,673,41.7349981,-87.6084206,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000051,2,3,17,031,H1,,,,,,,,440800,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,279072,0,Census Tract 4408,S,,1800,850,41.7323404,-87.6034076,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000052,2,3,17,031,H1,,,,,,,,440900,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,742631,0,Census Tract 4409,S,,2610,1195,41.7288398,-87.6082693,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000053,2,3,17,031,H1,,,,,,,,450300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,436147,0,Census Tract 4503 (part),S,,1024,455,41.7451356,-87.5838415,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000054,2,3,17,031,H1,,,,,,,,460500,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,174995,0,Census Tract 4605 (part),S,,653,295,41.7504052,-87.5812462,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000055,2,3,17,031,H1,,,,,,,,470100,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,1589074,0,Census Tract 4701,S,,2916,1247,41.7285565,-87.5967537,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000056,2,3,17,031,H1,,,,,,,,480200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,286029,0,Census Tract 4802,S,,1229,621,41.7357218,-87.5896271,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000057,2,3,17,031,H1,,,,,,,,480300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,415734,0,Census Tract 4803,S,,1468,645,41.7286802,-87.5876495,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000058,2,3,17,031,H1,,,,,,,,480400,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,42853,0,Census Tract 4804 (part),S,,102,44,41.7294263,-87.5835603,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000059,2,3,17,031,H1,,,,,,,,490300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,632636,0,Census Tract 4903,S,,2033,956,41.7245438,-87.6194555,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000060,2,3,17,031,H1,,,,,,,,490400,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,237760,0,Census Tract 4904,S,,1059,454,41.723122,-87.6102437,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000061,2,3,17,031,H1,,,,,,,,490600,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,517914,0,Census Tract 4906 (part),S,,1515,599,41.7189257,-87.628901,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000062,2,3,17,031,H1,,,,,,,,510300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,17005,0,Census Tract 5103 (part),S,,0,0,41.7228378,-87.5861186,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000063,2,3,17,031,H1,,,,,,,,530400,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,574365,0,Census Tract 5304 (part),S,,1233,437,41.6730426,-87.6578975,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000064,2,3,17,031,H1,,,,,,,,611600,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,115676,0,Census Tract 6116 (part),S,,688,231,41.7950439,-87.6764624,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000065,2,3,17,031,H1,,,,,,,,611700,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,328311,0,Census Tract 6117,S,,1990,759,41.7967117,-87.6722536,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000066,2,3,17,031,H1,,,,,,,,611800,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,327809,0,Census Tract 6118,S,,2139,874,41.7967341,-87.6673928,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000067,2,3,17,031,H1,,,,,,,,611900,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,163570,0,Census Tract 6119 (part),S,,841,348,41.7967843,-87.6631388,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000068,2,3,17,031,H1,,,,,,,,660600,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,391735,0,Census Tract 6606 (part),S,,3486,1363,41.7779802,-87.6894017,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000069,2,3,17,031,H1,,,,,,,,660700,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,480680,0,Census Tract 6607,S,,2366,725,41.7728896,-87.6812072,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000070,2,3,17,031,H1,,,,,,,,660800,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,470191,0,Census Tract 6608 (part),S,,4233,1615,41.7727662,-87.690487,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000071,2,3,17,031,H1,,,,,,,,660900,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,1220930,94983,Census Tract 6609 (part),S,,4232,1794,41.7680222,-87.6888384,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000072,2,3,17,031,H1,,,,,,,,661000,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,1118650,0,Census Tract 6610,S,,5706,2135,41.7619383,-87.6846966,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000073,2,3,17,031,H1,,,,,,,,661100,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,652035,0,Census Tract 6611 (part),S,,3280,1135,41.7617283,-87.6975378,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000074,2,3,17,031,H1,,,,,,,,670100,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,163333,0,Census Tract 6701 (part),S,,533,191,41.788374,-87.6565477,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000075,2,3,17,031,H1,,,,,,,,670200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,245136,0,Census Tract 6702 (part),S,,957,379,41.789507,-87.6623312,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000076,2,3,17,031,H1,,,,,,,,670300,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,326332,0,Census Tract 6703,S,,1411,635,41.7912659,-87.6672467,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000077,2,3,17,031,H1,,,,,,,,670400,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,326418,0,Census Tract 6704,S,,1956,695,41.7907409,-87.6723876,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000078,2,3,17,031,H1,,,,,,,,670500,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,622492,0,Census Tract 6705,S,,1321,450,41.7880121,-87.676008,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
